Rk,Player,WAR,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,SO,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
1,Mike Mussina\mussimi01,5.1,200.1,2008,39,NYY,AL,34,34,0,0,0,20,9,0.69,0,214,85,75,31,150,3.37,3.32,18.3%,3.8%,131,0.323,17,819,769,47,2,3,8,4,7,24,12,7,0,0,4,0.278,0.31,0.411,0.721,88,3135,2085
2,Jose Fernandez\fernajo02,4.4,182.1,2016,23,MIA,NL,29,29,0,0,0,16,8,0.667,0,149,63,58,55,253,2.86,2.3,34.3%,7.5%,137,0.337,13,737,664,29,3,6,6,7,5,14,2,6,0,1,9,0.224,0.288,0.336,0.624,75,2940,1916
3,Britt Burns\burnsbr01,4.2,227,1985,26,CHW,AL,36,34,8,4,1,18,11,0.621,0,206,105,100,79,172,3.96,3.73,18.2%,8.4%,109,0.273,26,944,852,36,5,1,2,6,5,20,17,8,1,0,2,0.242,0.306,0.387,0.693,85,,
4,Curt Schilling\schilcu01,4,151,2007,40,BOS,AL,24,24,1,1,0,9,8,0.529,0,165,68,65,23,101,3.87,4.21,16.0%,3.6%,123,0.299,21,633,600,35,2,1,2,4,3,8,5,1,1,0,0,0.275,0.303,0.445,0.748,89,2272,1557
5,Mike Sirotka\sirotmi01,4,197,2000,29,CHW,AL,32,32,1,0,0,15,10,0.6,0,203,101,83,69,128,3.79,4.42,15.4%,8.3%,133,0.297,23,832,755,30,2,1,1,4,3,26,8,4,1,2,8,0.269,0.33,0.405,0.735,84,3165,1914
6,Roger Bailey\bailero01,3.7,191,1997,26,COL,NL,29,29,5,2,0,9,10,0.474,0,210,103,91,70,84,4.29,5.37,10.1%,8.4%,121,0.289,27,835,741,41,7,2,13,7,4,27,16,5,6,0,4,0.283,0.354,0.467,0.821,102,,
7,Brian Holman\holmabr01,3.6,195.1,1991,26,SEA,AL,30,30,5,3,0,13,14,0.481,0,199,86,80,77,108,3.69,4.15,12.9%,9.2%,112,0.294,16,839,743,36,4,0,10,6,3,21,4,5,1,1,8,0.268,0.343,0.392,0.735,103,,
8,John Tudor\tudorjo01,3.4,146.1,1990,36,STL,NL,25,22,1,1,0,12,4,0.75,0,120,48,39,30,63,2.4,3.49,11.0%,5.2%,159,0.238,10,575,534,25,1,4,2,8,1,7,8,9,4,0,0,0.225,0.268,0.331,0.6,69,,
9,Jeff Zimmerman\zimmeje02,3.3,71.1,2001,28,TEX,AL,66,0,0,0,53,4,4,0.5,28,48,19,19,16,72,2.4,3.69,26.4%,5.9%,195,0.225,10,273,250,8,0,1,4,2,1,3,4,6,0,0,0,0.192,0.251,0.344,0.595,53,1106,734
10,Bob Tewksbury\tewksbo01,3.3,148.1,1998,37,MIN,AL,26,25,1,0,0,7,13,0.35,0,174,82,79,20,60,4.79,4.52,9.5%,3.2%,99,0.296,19,635,596,26,7,1,6,7,6,10,10,3,0,0,5,0.292,0.318,0.455,0.773,97,,
11,Jarrod Washburn\washbja01,3,176,2009,34,TOT,AL,28,28,1,1,0,9,9,0.5,0,160,77,74,49,100,3.78,4.58,13.8%,6.8%,114,0.254,23,724,658,28,2,1,5,8,4,16,5,4,0,0,1,0.243,0.299,0.397,0.696,84,2727,1677
12,Don Wilson\wilsodo01,3,204.2,1974,29,HOU,NL,33,27,5,4,2,11,13,0.458,0,170,80,70,100,112,3.08,4.02,12.8%,11.4%,112,0.245,16,875,749,37,3,2,4,14,8,8,18,11,0,1,4,0.227,0.318,0.348,0.667,95,,
13,Javier Vazquez\vazquja01,2.8,192.2,2011,34,FLA,NL,32,32,2,1,0,13,11,0.542,0,178,91,79,50,162,3.69,3.57,20.3%,6.3%,106,0.283,21,798,732,38,6,8,2,8,6,7,8,0,0,0,5,0.243,0.291,0.398,0.689,91,3004,1971
14,J.R. Richard\richaj.01,2.8,113.2,1980,30,HOU,NL,17,17,4,4,0,10,4,0.714,0,65,31,24,40,119,1.9,1.94,27.2%,9.1%,174,0.232,2,438,391,13,1,1,0,5,2,8,14,1,1,0,2,0.166,0.242,0.22,0.462,38,,
15,Steve Olin\olinst01,2.7,88.1,1992,26,CLE,AL,72,0,0,0,62,8,5,0.615,29,80,25,23,27,47,2.34,3.95,13.1%,7.5%,168,0.269,8,360,321,8,1,6,4,5,2,15,2,4,0,1,1,0.249,0.314,0.355,0.669,88,,
16,A.J. Burnett\burnea.01,2.6,164,2015,38,PIT,NL,26,26,0,0,0,9,7,0.563,0,174,64,58,49,143,3.18,3.36,20.5%,7.0%,122,0.337,11,699,633,24,5,2,11,2,4,18,33,9,3,1,6,0.275,0.336,0.381,0.716,103,2500,1611
17,Billy Wagner\wagnebi02,2.5,69.1,2010,38,ATL,NL,71,0,0,0,64,7,2,0.778,37,38,14,11,22,104,1.43,2.1,38.8%,8.2%,275,0.252,5,268,239,6,1,3,3,3,1,4,3,1,1,0,2,0.159,0.238,0.255,0.493,38,1102,716
18,Orlando Hernandez\hernaor01,2.5,147.2,2007,41,NYM,NL,27,24,0,0,0,9,5,0.643,0,109,64,61,64,128,3.72,4.93,21.1%,10.5%,116,0.226,23,608,528,21,3,4,5,8,3,9,14,6,1,0,2,0.206,0.297,0.388,0.685,81,2484,1473
19,Tom Seaver\seaveto01,2.5,176.1,1986,41,TOT,AL,28,28,2,0,0,7,13,0.35,0,180,83,79,56,103,4.03,3.93,13.6%,7.4%,106,0.286,17,759,683,31,6,2,7,7,6,14,22,6,0,0,4,0.264,0.323,0.401,0.724,94,,
20,Colby Lewis\lewisco01,2.4,116.1,2016,36,TEX,AL,19,19,1,0,0,6,5,0.545,0,103,53,48,28,73,3.71,4.81,15.5%,5.9%,123,0.241,19,472,437,16,2,0,3,1,3,9,2,5,0,0,1,0.236,0.285,0.412,0.696,81,1750,1139
21,Mariano Rivera\riverma01,2.4,64,2013,43,NYY,AL,64,0,0,0,60,6,2,0.75,44,58,16,15,9,54,2.11,3.05,21.1%,3.5%,190,0.28,6,256,246,10,0,3,1,0,0,3,3,0,1,0,0,0.236,0.266,0.35,0.615,69,942,655
22,Kiko Calero\calerki01,2.4,60,2009,34,FLA,NL,67,0,0,0,15,2,2,0.5,0,36,13,13,30,69,1.95,2.56,28.9%,12.6%,221,0.261,1,239,200,4,2,4,1,4,4,0,7,3,4,0,2,0.18,0.285,0.235,0.52,41,1011,585
23,Robb Nen\nenro01,2.4,73.2,2002,32,SFG,NL,68,0,0,0,66,6,2,0.75,43,64,19,18,20,81,2.2,1.97,26.9%,6.6%,177,0.321,2,301,276,10,2,8,1,4,0,6,6,0,0,0,1,0.232,0.286,0.304,0.591,63,1102,760
24,Jarrod Parker\parkeja02,2.3,197,2013,24,OAK,AL,32,32,1,0,0,12,8,0.6,0,178,92,87,63,134,3.97,4.4,16.4%,7.7%,98,0.263,25,818,736,31,1,2,7,8,4,18,11,6,1,0,7,0.242,0.306,0.389,0.695,92,2993,1872
25,Andy Pettitte\pettian01,2.3,185.1,2013,41,NYY,AL,30,30,1,0,0,11,11,0.5,0,198,85,77,48,128,3.74,3.7,16.3%,6.1%,107,0.31,17,784,721,43,2,1,4,4,7,17,9,1,1,0,6,0.275,0.321,0.411,0.731,101,2896,1899
26,Noah Lowry\lowryno01,2.3,156,2007,26,SFG,NL,26,26,1,0,0,14,8,0.636,0,155,76,68,87,87,3.92,4.89,12.5%,12.5%,114,0.292,12,694,584,23,8,2,5,14,4,25,7,4,0,0,5,0.265,0.363,0.394,0.757,99,2558,1579
27,Tom Henke\henketo01,2.3,54.1,1995,37,STL,NL,52,0,0,0,47,1,1,0.5,36,42,11,11,18,48,1.82,2.81,21.7%,8.1%,229,0.265,2,221,201,7,0,0,0,2,0,2,13,2,0,0,1,0.209,0.274,0.274,0.548,50,,
28,Pascual Perez\perezpa01,2.3,73.2,1991,34,NYY,AL,14,14,0,0,0,2,4,0.333,0,68,26,26,24,41,3.18,3.96,13.7%,8.0%,131,0.272,7,299,272,6,3,1,0,3,0,11,4,4,0,2,3,0.25,0.311,0.371,0.682,88,,
29,Milt Pappas\pappami01,2.3,162,1973,34,CHC,NL,30,29,1,1,1,7,12,0.368,0,192,82,77,40,48,4.28,4.39,6.9%,5.8%,92,0.297,20,695,643,31,3,9,4,4,4,20,14,5,0,0,5,0.299,0.342,0.449,0.791,119,,
30,R.A. Dickey\dicker.01,2.2,190,2017,42,ATL,NL,31,31,0,0,0,10,10,0.5,0,193,99,90,67,136,4.26,4.72,16.7%,8.2%,102,0.293,26,815,726,46,5,3,10,7,5,18,4,5,4,2,13,0.266,0.334,0.45,0.785,108,2924,1930
31,Dan Haren\harenda01,2.2,187.1,2015,34,TOT,NL,32,32,0,0,0,11,9,0.55,0,174,79,75,38,132,3.6,4.61,17.2%,5.0%,106,0.26,31,768,709,44,2,2,8,8,5,14,6,2,0,0,5,0.245,0.289,0.444,0.734,106,2906,1868
